,Q147.OtherInfoAreas,Q147.OtherInfoAreas.Reponse1.Level1,Q147.OtherInfoAreas.Reponse1.Level2,Q147.OtherInfoAreas.Reponse1.Level3,Q147.OtherInfoAreas.Reponse2.Level1,Q147.OtherInfoAreas.Reponse2.Level2,Q147.OtherInfoAreas.Reponse3.Level1,Q147.OtherInfoAreas.Reponse3.Level1,Q147.OtherInfoAreas.Reponse4.Level1,Q147.OtherInfoAreas.Reponse5.Level1,Q147.OtherInfoAreas.Reponse6.Level1,Q147.OtherInfoAreas.Reponse7.Level1,Q148.IdeasOfChanges,Q150.HelpToImplementChanges,Q150.HelpToImplementChanges.Reponse1.Level1,Q150.HelpToImplementChanges.Reponse1.Level2,Q150.HelpToImplementChanges.Reponse2.Level1,Q150.HelpToImplementChanges.Reponse2.Level2,Q150.HelpToImplementChanges.Reponse3.Level1,Q150.HelpToImplementChanges.Reponse4.Level1,Q162.MainChallengesOnFarm,Q162.MainChallengesOnFarm.Reponse1.Level1,Q162.MainChallengesOnFarm.Reponse1.Level2,Q162.MainChallengesOnFarm.Reponse1.Level3,Q162.MainChallengesOnFarm.Reponse2.Level1,Q162.MainChallengesOnFarm.Reponse2.Level2,Q162.MainChallengesOnFarm.Reponse2.Level3,Q162.MainChallengesOnFarm.Reponse3.Level1,Q162.MainChallengesOnFarm.Reponse3.Level2,Q162.MainChallengesOnFarm.Reponse3.Level3,Q162.MainChallengesOnFarm.Reponse4.Level1,Q162.MainChallengesOnFarm.Reponse4.Level2,Q163.SolutionsToAddressProblems,Q166.ShareNewFarmingPractice.Example,Q170.ChallengesOfSharingInfo,Q170.ChallengesOfSharingInfo.Reponse1.Level1,Q170.ChallengesOfSharingInfo.Reponse1.Level2,Q170.ChallengesOfSharingInfo.Reponse2.Level1,Q171.MakeSharingEasier,Q171.MakeSharingEasier.Response1.Level1,Q171.MakeSharingEasier.Response1.Level2,Q171.MakeSharingEasier.Response2.Level1,Q171.MakeSharingEasier.Response2.Level2,Q21.Income.Other,Q21.Income.Other.Reponse1.Level1,Q21.Income.Other.Reponse1.Level2,Q21.Income.Other.Reponse2.Level1,Q21.Income.Other.Reponse2.Level2,Q28.FarmHealth.Text,Q93.BankAccountChallenges,Q95.BankLoanFacilityChallenges,Q95.BankLoanFacilityChallenges.Reponse1.Level1,Q95.BankLoanFacilityChallenges.Reponse1.Level2,Q95.BankLoanFacilityChallenges.Reponse2.Level1,Q97.BankCreditChallenges,Q99.SACCOChallenges,Q99.SACCOChallenges.Reponse1.Level1,Q99.SACCOChallenges.Reponse1.Level2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,biogas,Biogas,,,,,,,,,,,1,expertise to assist,Training,,,,,,workers sometime are not available,Labour ,Shortage,,,,,,,,,,i look for  others,biogas usage,how to inform farmers on the project,Communication,,Lack of information,airtime to call them,Funding for Communication,,,,loans,Loans,,,,tea is now mature,,High repayments and interests,High Interest,,,interest charged is high,Restrictions on loan repayment,Repayment Hard,
1,"biogas ,record keeping,soil conservation",Biogas,,,Record keeping,,Soil conservation,,,,,,2,to be trained by oep,Training,Extension officer,,,,,"neighbours cattle coming to my farm,moles destroying tea",Pests,Neigbouring cattle,,Pests,Moles,,,,,,,none,"soil conservation, record keeping",none,No Challenges,,,none,NA,,,,pluckers,Wages,,,,good rain,,Unfriendly bank restrictions and poor tea prices,Background Check,,Price Shocks,less kilos affect payments of the loan and credit,Poor management,Bad Management,
2,best dairy farming,Livestock,Dairy,,,,,,,,,,,expert  to train me,Training,Extension officer,,,,,workers who pluck tea are not available,Labour ,Shortage,,,,,,,,,,weeding and spraying,dairy farming,distance to other farmers,Travel,,,posters to be provided,Training materials,,,,Farming costs,Farm Costs,,,,drought has not been experienced,,"long quees
high interest rate per month",High Interest,,Long Lines,,None,No Challenges,
3,"soil management,value addition",Soil management ,,,Value addition,,,,,,,,,be provide with finance,Finance,,,,,,drought,Weather,Drought,,,,,,,,,,i pluck alone,soil management,Getting time for demonstration because they take long,Time,,,nothing,NA,,,,Cow feeds,Livestock ,,,,"prolonged drought,hailstorms this year",,long quees,Long Lines,,,,Taking a lot of time to approve and disburse loans,Background Checks,Disbursement Timeline
4,"soil testing in my farm,bee keeping",Soil management ,Soil quality analysis,,Bee keeping,,,,,,,,,being trained on soil management,Training,Soil mangement,,,,,"drought,expensive fertilizers ,soil erosion",Weather,Drought,,Inputs,Fertilizer,Price,,,,,,we pluck as family,"soil management, bee keeping",Others doesn't accept teachings/trainings,Fellow farmers do not accept training,,,information to be announced by oep,Increased support from cooperative,,,,development,Farm Costs,,,,"storm,drought",,no problem so far,No Challenges,,,,long processing time with high interest,Disbursement Timeline,Background Check
5,soil ph,Soil management ,Soil quality analysis,,,,,,,,,,,expert to train me on tea farming,Training,Farm mangement,,,,,"drought,weeds and pest",Weather,Drought,,Pests,,,Weeds,,,,,loan,"soil erosion,weed management",Others may not implement teachings,Fellow farmers do not accept training,,,finance on transportation,Funding to travel,,,,workers wage,Wages,,,,"lack of enough rain,expensive fertilizer",,damage of tea bushes by drought or hailstones renders high bank interest due to delay,High Interest,Bad Weather,Farming Challenges,,limited credit limit by sacco,Low Credit,
6,water and soil management,Soil management ,,,Water management ,,,,,,,,,training on best farming practices,Training,Good agricultural practices,,,,,"workers are not available to pluck ,as i am sick",Labour ,Shortage,,Illness,,,,,,,,Going out to look for jobs/labour to increase my income,soil management and training on best tea farming,Some people do not believe or implement farming ideas,Fellow farmers do not accept training,,,i need to be trained first,Training ,,,,farming,Farm Costs,,,,drought this year,,not affordable,Not Affordable,,,,restricted credit limit,Low Credit,
7,dairy farming,Livestock,Dairy,,,,,,,,,,,provided with  tea seedling,Inputs,Seedlings,,,,,"drought,no enough workers or pluckers",Labour ,Shortage,,Weather,Drought,,,,,,,Buy farm inputs in time during a cheap season,New information I will trained or shown about farming,Some people don't accept teachings/training from us the locals but accept new visitors/extension officers to train,Fellow farmers do not accept training,,Prefer training from experts/extension staff,Having group trainings and official visitors to give us more and new information,Training,,Training materials,,development,Farm Costs,,,,drought,,not so far,No Challenges,,,,"limited credit limit
delayed remittance",Low Credit,
8,"Newer practises to improve farming, harvesting and production.",Good agricultural practices ,,,Harvesting,,,,,,,,,Financial help and training,Training ,,Finance,,,,finance to buy fertilizer,Finance,Fertilizer,,,,,,,,,,Leaving tea to grow and leaves/branches touched each other (canopy-like) and weeds wouldn't grow much,The soil management and new farming techniques,Logistics,Logistics,,,I don't know,NA,,,,development buying land,Farm Costs,,,,enough rain,,no problem,No Challenges,,,,restricted credit limit. it depends on delivered g,Low Credit,Farming Challenges
9,I need to know more about soil,Soil management ,,,,,,,,,,,,Getting newer seeds of tea because my type is older,Inputs,Seeds,,,,,Prices of farm inputs are high and low income after productions,Prices,High input price,,Income,Low,,,,,,,Mulching and using organic manure,The teachings,Transport and other expenses,Travel,Costs,,Call them to seminars,Training,,,,"invest on developments, pay wages,contribute to society",Farm Costs,,Wages,,tea has matured this year,,crop damages through bad weather,Farming Challenges,Bad Weather,,,credit limit is low depends on my shares,Low Credit,Shares
10,Record Keeping and tea plantations and management,Record keeping,,,Tea management,,,,,,,,,Being trained,Training ,,,,,,"Weather, prices of farm implements",Weather,,,Prices,High input price,,,,,,,None,The new ideas of farming,Some people exposure and lack of information makes it hard. Time also is a factor.,Time,,Lack of information/resources/demonstrations/demonstrations,Needs Demonstration farms and workshops,Demonstration Farm,,,,wages,Wages,,,,Minimal rainfall,,ff,-1,,,,reduce production of tea,Farming Challenges,
11,Trainings on tea and value addition,Tea management,,,Value addition,,,,,,,,,Support financially and trainings,Training ,,Finance,,,,Weeds,Weeds,,,,,,,,,,,Uprooting and throwing them away in the road,Fertilizer usage,Few people and delays in implementation,Travel,,,Materials and demonstration farms,Training materials,,,,"wages, development",Wages,,Farm Costs,,Bad weather,,"High interest rates charged by banks,
low credit limit accorded to me due to the
flactuating tea prices.",High Interest,,Price Shocks,,"credit limit is limited by shares held
repayment",Low Credit,Shares
12,Tea and Management,Tea management,,,Farm management,,,,,,,,,Finances and training,Training ,,Finance,,,,Weather,Weather,Hail,,,,,,,,,,Seeking reliable labourers,New farming practises,People may lack all the necessities to apply the knowledge and skills learnt,People lack necessities to implement new skills,,,Financial Support,Funding,,,,"wages, developments",Wages,,Farm Costs,,We used fertilizers and steady rainfall,,"high interest charged by banks
limited credit limit",High Interest,,,,my share is my security thus low credit limit,Low Credit,Shares
13,To get more produce from tea farming hence good income,Tea management,,,Productivity improvement,,,,,,,,,Finances,Training ,,Finance,,,,Weather and hailstones,Weather,Hail,,,,,,,,,,Planning to uproot old model of tea,About how I was thought,"Time management, finances and materials",Time,Costs,,Finances,Funding,,,,"wages, improve my farm",Wages,,Farm Costs,,Waether,,"interest charged on loan
fluctuating prices of security (tea prices)",High Interest,,Price Shocks,,"loan value is limited by shares held
repayment",Shares,
14,Tea productions,Tea management,,,,,,,,,,,,Finances and knowledge,Knoweldge,,Finance,,,,Workers/pluckers need more money,Labour ,Shortage,,Labour ,Costs,,,,,,,"Using mice straps, weeding, support to bananas using trees, planting trees",The new farming techniques,communiction is a major constrain,Travel,Communication,,"Logistics and give resource persons, training materials too.",Training materials,,,,"wages,saving,animal feeds",Wages,Savings,Livestock,,Weather,,not hard to access,No Challenges,,,,no challenge,No Challenges,
15,Tea,Tea management,,,,,,,,,,,,"Loans, marketing and training",Training ,,Finance,Loans,Marketing,,Old clown tea lack good productions,Inputs,Poor seedling varieities,,,,,,,,,,Spraying,Telling farm practises I am aware of. New teachings,language barriers and poor communication,Communication,,Language,Demonstrations sites/farms,Demonstration Farm,,,,"wages,",Wages,,,,Produce from land was good and sufficient,,"interest rates are high,
fluctuating tea yield leading to inability to service loans",High Interest,Repayment Hard,Price Shocks,,"delay to credit my account 
credit limit is low",Low Credit,Disbursement Timeline
16,"Soil PH levels, composting",Soil management ,Soil quality analysis,,Compositing,,,,,,,,,visit by the extension officers to the farm,Training ,Extension officer,,,,,"Pests, Weeds and Bad weather",Weather,Poor,,Pests,,,Weeds,,,,,Uprooting bad weeds not destroyed by spraying with chemicals,How to increase their production,"drought
poor prices",Drought,Costs,,Doing regular visits to check the farmers' progress,Visit Fellow Farmers Farms,,,,animals feeds,Livestock ,,,,Good produce and health of crops,,repayment period especially during hail damage,Repayment Hard,Bad Weather,,,none,No Challenges,
